lat,lng,traffic,crowd,noise,brightness,construction,weather,profile,score,comfort_label
19.186,72.757,0.864,0.775,0.959,0.587,0.997,0.7,autistic,82.12,Stressful
19.223,72.76,0.036,0.512,0.7,0.545,0.15,0.7,autistic,45.28,Moderate
19.288,72.889,0,0.125,0.48,0.385,0.296,0.7,general,33.11,Comfortable
19.21,72.763,0,0.864,0.425,0.001,0.147,0.7,elderly,33.94,Comfortable
19.155,72.869,0,0.737,0.655,0.702,0.587,0.7,general,56.35,Moderate
19.193,72.767,0,0.869,0.055,0.661,0.143,0.7,elderly,36.79,Moderate
19.224,72.76,0.534,0.58,0.261,0.685,0.948,0.7,autistic,60.15,Moderate
19.014,72.802,0,0.717,0.37,0.299,0.91,0.7,elderly,51.39,Moderate
19.13,72.838,0,0.034,0.752,0.458,0.555,0.7,general,41.63,Moderate
19.27,72.866,0,0.015,0.724,0.7,0.809,0.7,autistic,49.65,Moderate
19.228,72.927,0.152,0.683,0.407,0.854,0.286,0.7,autistic,52.03,Moderate
18.945,72.806,0,0.281,0.873,0.74,0.012,0.7,general,43.42,Moderate
19.165,72.928,0,0.471,0.511,0.654,0.147,0.7,general,41.38,Moderate
18.957,72.926,0,0.627,0.826,0.23,0.775,0.7,elderly,52.32,Moderate
18.934,72.924,0,0.744,0.119,0.839,0.601,0.7,autistic,50.29,Moderate
18.977,72.851,0,0.352,0.254,0.631,0.36,0.7,autistic,37.45,Moderate
19.157,72.862,0.143,0.211,0.239,0.397,0.144,0.7,elderly,29.4,Comfortable
19.036,72.942,0,0.353,0.164,0.375,0.7,0.7,general,38.22,Moderate
19.065,72.873,0,0.485,0.02,0.942,0.236,0.7,elderly,36.03,Moderate
19.012,72.791,0,0.223,0.372,0.681,0.281,0.7,autistic,36.93,Moderate
18.976,72.89,0,0.509,0.462,0.203,0.945,0.7,autistic,47.04,Moderate
19.272,72.835,0,0.726,0.095,0.754,0.259,0.7,elderly,38.88,Moderate
19.249,72.931,0.176,0.888,0.63,0.718,0.286,0.7,autistic,58.6,Moderate
19.129,72.858,0,0.417,0.687,0.033,0.98,0.7,general,46.93,Moderate
19.241,72.922,0.176,0.931,0.629,0.603,0.089,0.7,autistic,53.93,Moderate
19.274,72.925,0,0.707,0.164,0.568,0.564,0.7,autistic,44.88,Moderate
18.922,72.94,0,0.569,0.226,0.776,0.094,0.7,autistic,39.26,Moderate
19.105,72.858,0,0.356,0.278,0.329,0.245,0.7,general,31.78,Comfortable
19.167,72.805,0,0.702,0.201,0.509,0.332,0.7,autistic,40.5,Moderate
19.01,72.843,0,0.088,0.007,0.584,0.89,0.7,elderly,40.24,Moderate
19.191,72.89,0.143,0.46,0.119,0.961,0.686,0.7,autistic,50.27,Moderate
19.064,72.9,0,0.999,0.83,0.068,0.052,0.7,general,44.14,Moderate
18.997,72.782,0,0.733,0.13,0.051,0.093,0.7,elderly,27.51,Comfortable
19.284,72.752,0.875,0.229,0.764,0.884,0.499,0.7,general,65.84,Stressful
19.229,72.944,0.176,0.602,0.087,0.22,0.755,0.7,general,42.33,Moderate
19.048,72.781,0.751,0.009,0.211,0.691,0.207,0.7,general,42.8,Moderate
18.92,72.884,0,0.106,0.624,0.185,0.931,0.7,autistic,41.94,Moderate
19.283,72.871,0.412,0.395,0.971,0.854,0.626,0.7,autistic,67.45,Stressful
19.173,72.772,0.632,0.645,0.848,0.073,0.75,0.7,autistic,60.45,Moderate
19.019,72.841,0.217,0.672,0.165,0.276,0.832,0.7,autistic,46.27,Moderate
18.987,72.828,0.143,0.829,0.598,0.645,0.184,0.7,elderly,47.06,Moderate
19.046,72.908,0.235,0.975,0.19,0.985,0.841,0.7,autistic,66.25,Stressful
18.912,72.883,0.669,0.054,0.896,0.407,0.953,0.7,autistic,59.9,Moderate
19.134,72.752,0.133,0.913,0.998,0.533,0.265,0.7,autistic,62.49,Moderate
19.024,72.922,0,0.616,0.105,0.64,0.59,0.7,autistic,43.63,Moderate
19.192,72.888,0.125,0.176,0.607,0.891,0.318,0.7,general,46.95,Moderate
19.187,72.94,0,0.1,0.144,0.465,0.958,0.7,general,39.45,Moderate
19.291,72.848,0,0.356,0.478,0.661,0.325,0.7,elderly,38.85,Moderate
19.195,72.835,0.357,0.193,0.715,0.592,0.633,0.7,general,53.18,Moderate
18.931,72.92,0,0.486,0.928,0.751,0.195,0.7,elderly,44.92,Moderate
19.052,72.761,0.832,0.645,0.742,0.856,0.832,0.7,elderly,77.22,Stressful
19.191,72.869,0.286,0.335,0.911,0.996,0.816,0.7,elderly,64.95,Moderate
19.205,72.823,0,0.104,0.073,0.564,0.81,0.7,autistic,35.22,Moderate
18.999,72.781,0.938,0.967,0.919,0.692,0.886,0.7,general,85.04,Stressful
19.172,72.815,0,0.775,0.48,0.03,0.619,0.7,autistic,43.91,Moderate
19.242,72.801,0,0.287,0.977,0.25,0.929,0.7,elderly,52.94,Moderate
19.072,72.844,0,0.17,0.582,0.157,0.657,0.7,elderly,38.88,Moderate
18.938,72.817,0.194,0.85,0.419,0.882,0.993,0.7,elderly,66.67,Stressful
19.072,72.843,0.15,0.27,0.661,0.81,0.987,0.7,elderly,59.49,Moderate
19.202,72.803,0,0.359,0.594,0.042,0.507,0.7,general,36.7,Moderate
19.122,72.837,0.143,0.934,0.47,0.462,0.77,0.7,elderly,57.66,Moderate
19.117,72.808,0.143,0.137,0.338,0.21,0.826,0.7,autistic,37.08,Moderate
19.194,72.835,0.16,0.039,0.35,0.704,0.361,0.7,elderly,37.09,Moderate
19.174,72.816,0,0.556,0.82,0.849,0.324,0.7,general,54.15,Moderate
19.188,72.829,0.158,0.62,0.028,0.496,0.181,0.7,general,36.39,Moderate
19.269,72.807,0,0.206,0.769,0.953,0.361,0.7,elderly,44.73,Moderate
19.288,72.934,0.152,0.792,0.168,0.398,0.566,0.7,general,46.27,Moderate
19.071,72.75,0.909,0.406,0.405,0.905,0.149,0.7,autistic,55.08,Moderate
18.93,72.895,0,0.018,0.678,0.597,0.954,0.7,general,49.11,Moderate
19.241,72.867,0,0.709,0.413,0.134,0.466,0.7,general,40.37,Moderate
19.202,72.943,0,0.226,0.438,0.25,0.566,0.7,autistic,35.33,Moderate
19.054,72.816,0,0.397,0.603,0.769,0.011,0.7,autistic,42.24,Moderate
19.009,72.933,0,0.641,0.641,0.356,0.896,0.7,autistic,55.38,Moderate
19.198,72.756,0.5,0.829,0.371,0.575,0.629,0.7,general,60.06,Moderate
18.945,72.938,0,0.479,0.298,0.428,0.999,0.7,autistic,48.05,Moderate
18.975,72.919,0,0.832,0.438,0.616,0.047,0.7,general,43.89,Moderate
18.983,72.83,0.174,0.272,0.115,0.356,0.311,0.7,general,32.11,Comfortable
19.022,72.793,0,0.118,0.605,0.556,0.068,0.7,autistic,33.83,Comfortable
19.099,72.871,0.075,0.727,0.633,0.045,0.694,0.7,elderly,48.79,Moderate
18.942,72.882,0,0.805,0.186,0.467,0.69,0.7,autistic,47.58,Moderate
18.983,72.93,0,0.041,0.371,0.697,0.335,0.7,general,35.74,Moderate
19.245,72.784,0,0.84,0.355,0.748,0.368,0.7,elderly,46.32,Moderate
19.125,72.816,0,0.537,0.172,0.727,0.014,0.7,general,35.84,Moderate
19.24,72.939,0.147,0.44,0.425,0.721,0.262,0.7,elderly,41.76,Moderate
19.068,72.836,0.154,0.321,0.691,0.364,0.9,0.7,autistic,52.37,Moderate
19.105,72.756,0.586,0.911,0.762,0.156,0.597,0.7,autistic,62.18,Moderate
18.922,72.886,0,0.449,0.602,0.957,0.501,0.7,elderly,49.24,Moderate
19.106,72.754,0.363,0.24,0.459,0.709,0.447,0.7,elderly,47.64,Moderate
18.969,72.898,0,0.762,0.447,0.96,0.166,0.7,autistic,52.33,Moderate
19.001,72.835,0.075,0.772,0.622,0.67,0.093,0.7,general,48.88,Moderate
18.997,72.881,0,0.3,0.154,0.629,0.573,0.7,autistic,37.91,Moderate
19.299,72.936,0.147,0.623,0.926,0.758,0.258,0.2,autistic,54.21,Moderate
19.236,72.761,0,0.613,0.636,0.162,0.206,0.7,autistic,39.36,Moderate
19.124,72.799,0.095,0.224,0.756,0.312,0.663,0.7,elderly,45.91,Moderate
19.152,72.843,0,0.29,0.411,0.39,0.087,0.7,general,31.29,Comfortable
19.153,72.755,0.51,0.516,0.63,0.079,0.918,0.7,elderly,59.97,Moderate
19.289,72.787,0,0.357,0.525,0.988,0.534,0.7,autistic,52.82,Moderate
19.058,72.783,0.631,0.214,0.363,0.464,0.16,0.7,general,42.21,Moderate
19.001,72.892,0,0.458,0.55,0.628,0.003,0.7,general,38.98,Moderate
18.959,72.795,0,0.07,0.449,0.196,0.139,0.7,elderly,24.69,Comfortable
18.928,72.792,0,0.241,0.455,0.362,0.384,0.7,elderly,34.66,Comfortable
18.901,72.887,0.926,0.644,0.889,0.903,0.489,0.7,general,75.86,Stressful
18.916,72.884,0.699,0.369,0.822,0.413,0.965,0.7,elderly,69.19,Stressful
19.009,72.865,0,0.703,0.318,0.775,0.07,0.7,elderly,37.55,Moderate
19.098,72.797,0,0.044,0.665,0.577,0.288,0.7,elderly,34.96,Comfortable
19.164,72.919,0,0.895,0.529,0.951,0.75,0.7,autistic,66.51,Stressful
19.288,72.772,0,0.282,0.685,0.791,0.292,0.7,elderly,41.31,Moderate
19.094,72.787,0.134,0.843,0.64,0.87,0.731,0.7,general,65.3,Stressful
19.183,72.823,0,0.976,0.117,0.893,0.458,0.7,general,52.4,Moderate
18.905,72.894,0.586,0.995,0.329,0.401,0.27,0.7,general,54.68,Moderate
18.956,72.778,0.172,0.379,0.846,0.157,0.341,0.7,elderly,42.07,Moderate
19.218,72.944,0,0.575,0.725,0.285,0.787,0.7,general,51.19,Moderate
19.042,72.908,0,0.043,0.862,0.728,0.596,0.7,elderly,46.11,Moderate
19.047,72.918,0,0.538,0.654,0.789,0.638,0.7,general,55.32,Moderate
19.149,72.78,0.225,0.464,0.85,0.528,0.644,0.7,autistic,58.14,Moderate
19.287,72.837,0,0.403,0.53,0.431,0.884,0.7,elderly,49.86,Moderate
19.114,72.843,0.182,0.153,0.293,0.375,0.943,0.7,autistic,41.99,Moderate
19.069,72.889,0,0.133,0.218,0.545,0.414,0.7,autistic,31.68,Comfortable
19.034,72.758,0.793,0.56,0.175,0.596,0.153,0.7,general,49.61,Moderate
19.133,72.928,0.16,0.35,0.09,0.84,0.951,0.7,general,51.53,Moderate
19.241,72.778,0,0.936,0.308,0.411,0.383,0.7,autistic,46.46,Moderate
19.104,72.816,0,0.286,0.877,0.027,0.07,0.7,elderly,30.02,Comfortable
19.176,72.915,0.102,0.928,0.485,0.954,0.616,0.7,general,63.09,Moderate
19.091,72.906,0,0.56,0.437,0.603,0.74,0.7,general,50.67,Moderate
19.157,72.797,0,0.955,0.897,0.147,0.089,0.7,autistic,49.34,Moderate
19.061,72.816,0,0.864,0.989,0.313,0.595,0.7,elderly,54.96,Moderate
18.916,72.767,0.444,0.662,0.008,0.491,0.767,0.7,elderly,54.04,Moderate
19.125,72.879,0,0.134,0.436,0.879,0.103,0.7,general,37.54,Moderate
18.941,72.819,0,0.002,0.194,0.934,0.252,0.7,elderly,31.52,Comfortable
19.025,72.921,0.15,0.288,0.267,0.91,0.253,0.7,autistic,41.75,Moderate
18.958,72.809,0.676,0.19,0.172,0.918,0.784,0.7,autistic,53.96,Moderate
19.05,72.922,0,0.074,0.73,0.446,0.119,0.7,autistic,34.44,Comfortable
19.274,72.931,0,0.557,0.837,0.681,0.882,0.7,general,60.95,Moderate
19.09,72.776,0.684,0.91,0.85,0.144,0.068,0.7,general,55.94,Moderate
19.068,72.823,0.15,0.184,0.577,0.697,0.297,0.7,elderly,40.54,Moderate
19.12,72.831,0,0.164,0.61,0.795,0.607,0.7,elderly,45.57,Moderate
19.013,72.764,0.494,0.211,0.388,0.951,0.424,0.7,autistic,50.97,Moderate
19.21,72.769,0,0.314,0.162,0.115,0.478,0.7,elderly,31.01,Comfortable
19.22,72.874,0,0.877,0.392,0.031,0.74,0.7,general,45.67,Moderate
18.975,72.784,0,0.177,0.684,0.525,0.519,0.7,autistic,43.81,Moderate
19.223,72.831,0,0.01,0.595,0.975,0.155,0.7,general,40.6,Moderate
19.137,72.843,0.263,0.726,0.726,0.984,0.101,0.7,general,58.35,Moderate
19.034,72.766,0.804,0.153,0.139,0.553,0.904,0.7,general,54.19,Moderate
18.985,72.755,0.345,0.198,0.993,0.113,0.746,0.7,autistic,51.57,Moderate
19.173,72.829,0,0.552,0.72,0.496,0.691,0.7,general,52.66,Moderate
19.287,72.891,0,0.842,0.156,0.864,0.296,0.7,elderly,43.5,Moderate
19.244,72.9,0,0.8,0.178,0.734,0.751,0.7,general,52.72,Moderate
19.041,72.839,0,0.391,0.917,0.274,0.492,0.7,elderly,44.32,Moderate
19.05,72.88,0.107,0.976,0.689,0.861,0.939,0.7,elderly,68.87,Stressful
19.168,72.928,0,0.097,0.469,0.621,0.776,0.7,elderly,44.42,Moderate
19.021,72.897,0,0.506,0.41,0.663,0.099,0.7,general,39.63,Moderate
19.29,72.871,0,0.218,0.505,0.718,0.07,0.7,general,36.85,Moderate
19.262,72.944,0,0.971,0.787,0.248,0.392,0.7,elderly,48.61,Moderate
19.004,72.922,0,0.916,0.157,0.971,0.601,0.7,elderly,52.59,Moderate
19.264,72.866,0,0.071,0.22,0.538,0.64,0.7,autistic,34.26,Comfortable
19.098,72.869,0,0.762,0.979,0.872,0.254,0.7,elderly,52.37,Moderate
19.15,72.937,0,0.266,0.897,0.134,0.642,0.7,general,43.97,Moderate
19.257,72.932,0,0.192,0.418,0.226,0.172,0.7,general,28.46,Comfortable
18.954,72.827,0.25,0.665,0.141,0.343,0.838,0.7,elderly,51.68,Moderate
18.954,72.895,0,0.989,0.743,0.549,0.616,0.7,general,59.96,Moderate
19.113,72.874,0,0.175,0.627,0.106,0.767,0.7,autistic,39.1,Moderate
18.948,72.826,0,0.852,0.555,0.892,0.494,0.7,general,58.23,Moderate
19.14,72.93,0,0.704,0.085,0.719,0.954,0.7,general,52.71,Moderate
19.242,72.753,0.362,0.357,0.664,0.372,0.848,0.7,elderly,56.93,Moderate
19.112,72.787,0,0.005,0.03,0.888,0.114,0.7,autistic,26.42,Comfortable
19.208,72.914,0.176,0.587,0.094,0.943,0.214,0.7,general,45.24,Moderate
19.103,72.758,0.208,0.112,0.763,0.777,0.673,0.7,elderly,52.37,Moderate
19.111,72.798,0,0.994,0.68,0.886,0.924,0.7,general,69.73,Stressful
19.026,72.759,0.458,0.094,0.599,0.421,0.165,0.7,elderly,39.7,Moderate
18.965,72.843,0,0.182,0.498,0.023,0.076,0.7,elderly,23.56,Comfortable
18.97,72.937,0,0.093,0.295,0.814,0.735,0.7,general,43.94,Moderate
19.257,72.868,0,0.624,0.835,0.555,0.856,0.7,elderly,57.99,Moderate
19.169,72.811,0,0.951,0.27,0.828,0.071,0.7,autistic,48.28,Moderate
19.181,72.795,0,0.3,0.647,0.37,0.805,0.7,autistic,47.48,Moderate
19.164,72.845,0.182,0.034,0.779,0.08,0.779,0.7,elderly,45.03,Moderate
19.081,72.769,0.985,0.009,0.76,0.121,0.014,0.7,autistic,38.98,Moderate
18.938,72.883,0,0.768,0.14,0.406,0.304,0.7,autistic,38.15,Moderate
19.084,72.783,0.876,0.165,0.069,0.556,0.924,0.7,autistic,49.65,Moderate
19.123,72.849,0,0.29,0.027,0.286,0.495,0.7,general,29.95,Comfortable
19.035,72.836,0.323,0.539,0.941,0.654,0.311,0.7,general,57.77,Moderate
19.151,72.869,0,0.882,0.554,0.568,0.615,0.7,elderly,52.9,Moderate
19.027,72.763,0.049,0.374,0.592,0.553,0.178,0.7,autistic,41.07,Moderate
18.99,72.915,0,0.616,0.209,0.569,0.168,0.7,general,37.69,Moderate
18.952,72.924,0,0.498,0.214,0.84,0.387,0.7,general,43.96,Moderate
19.181,72.881,0,0.316,0.019,0.299,0.587,0.7,autistic,29.56,Comfortable
18.951,72.943,0,0.102,0.156,0.325,0.49,0.7,general,29.55,Comfortable
18.969,72.8,0,0.189,0.534,0.98,0.011,0.7,elderly,33.97,Comfortable
18.917,72.855,0.115,0.246,0.401,0.946,0.398,0.7,autistic,46.41,Moderate
18.981,72.77,0.609,0.789,0.419,0.346,0.887,0.7,autistic,61.31,Moderate
19.103,72.783,0.16,0.89,0.999,0.284,0.407,0.7,elderly,54.27,Moderate
19.124,72.871,0,0.469,0.084,0.87,0.112,0.7,general,37.27,Moderate
18.986,72.825,0,0.894,0.397,0.145,0.395,0.7,autistic,42.79,Moderate
19.158,72.825,0.16,0.922,0.149,0.952,0.966,0.7,general,64.15,Moderate
18.991,72.799,0,0.018,0.385,0.125,0.365,0.7,general,26.54,Comfortable
18.982,72.944,0,0.907,0.084,0.344,0.979,0.7,autistic,50.13,Moderate
19.174,72.891,0,0.728,0.453,0.73,0.074,0.7,autistic,46.01,Moderate
18.985,72.765,0.477,0.961,0.38,0.311,0.228,0.7,general,50.95,Moderate
18.921,72.837,0,0.77,0.285,0.268,0.454,0.7,elderly,40.61,Moderate
19.046,72.922,0,0.479,0.18,0.843,0.424,0.7,general,43.78,Moderate
19.209,72.764,0,0.097,0.641,0.126,0.15,0.7,autistic,27.65,Comfortable
19.259,72.751,0.838,0.32,0.854,0.938,0.806,0.7,general,74.27,Stressful
19.235,72.801,0,0.627,0.155,0.824,0.456,0.7,general,46.03,Moderate
19.212,72.812,0,0.108,0.139,0.141,0.836,0.7,elderly,35.88,Moderate
19.19,72.756,0.882,0.835,0.877,0.234,0.918,0.7,autistic,73.94,Stressful
19.125,72.882,0,0.761,0.209,0.88,0.309,0.7,elderly,43.48,Moderate
19.126,72.793,0,0.424,0.5,0.541,0.469,0.7,general,43.9,Moderate
19.184,72.859,0.163,0.544,0.666,0.574,0.182,0.7,general,47.15,Moderate
19.171,72.912,0,0.558,0.141,0.751,0.519,0.7,autistic,44.06,Moderate
19.287,72.891,0,0.333,0.205,0.896,0.848,0.7,general,49.69,Moderate
19.093,72.869,0,0.708,0.167,0.36,0.134,0.7,general,34.48,Comfortable
19.28,72.868,0,0.48,0.202,0.558,0.689,0.7,general,43.83,Moderate
19.063,72.839,0.25,0.517,0.644,0.719,0.391,0.7,elderly,50.7,Moderate
18.974,72.831,0,0.955,0.97,0.661,0.06,0.7,general,55.76,Moderate
19.225,72.76,0.792,0.138,0.129,0.63,0.537,0.7,autistic,44.0,Moderate
18.991,72.891,0,0.939,0.025,0.151,0.579,0.7,elderly,41.04,Moderate
18.917,72.895,0.292,0.38,0.498,0.756,0.571,0.7,elderly,52.03,Moderate
19.299,72.834,0,0.963,0.784,0.732,0.3,0.7,elderly,52.12,Moderate
18.959,72.928,0,0.829,0.652,0.718,0.142,0.7,autistic,53.12,Moderate
19.11,72.773,0.761,0.998,0.69,0.47,0.374,0.7,elderly,65.6,Stressful
19.294,72.945,0,0.218,0.212,0.17,0.194,0.7,general,24.92,Comfortable
19.17,72.757,0.828,0.611,0.772,0.423,0.738,0.7,elderly,69.86,Stressful
19.272,72.835,0,0.508,0.339,0.819,0.552,0.7,general,48.63,Moderate
19.289,72.853,0,0.579,0.477,0.534,0.249,0.7,elderly,38.97,Moderate
18.926,72.796,0,0.126,0.849,0.293,0.653,0.7,elderly,43.3,Moderate
19.263,72.886,0.12,0.212,0.932,0.961,0.189,0.7,general,51.9,Moderate
19.177,72.829,0.158,0.274,0.117,0.89,0.485,0.7,general,43.74,Moderate
18.989,72.837,0.143,0.336,0.888,0.874,0.687,0.7,general,60.48,Moderate
19.026,72.856,0,0.402,0.729,0.964,0.781,0.7,autistic,61.75,Moderate
19.152,72.807,0,0.354,0.318,0.125,0.498,0.7,elderly,34.23,Comfortable
18.966,72.783,0.174,0.133,0.052,0.349,0.644,0.7,general,34.2,Comfortable
19.12,72.918,0,0.826,0.46,0.439,0.048,0.7,general,41.24,Moderate
19.046,72.774,0.035,0.403,0.638,0.918,0.1,0.7,general,46.56,Moderate
19.026,72.807,0,0.123,0.61,0.884,0.917,0.7,elderly,52.86,Moderate
18.913,72.786,0.455,0.307,0.197,0.071,0.283,0.7,elderly,35.91,Moderate
19.277,72.864,0,0.334,0.078,0.868,0.808,0.7,elderly,46.33,Moderate
19.229,72.85,0.25,0.268,0.793,0.624,0.019,0.7,general,44.23,Moderate
19.281,72.913,0.176,0.942,0.263,0.555,0.067,0.7,elderly,41.33,Moderate
19.228,72.832,0,0.142,0.763,0.084,0.424,0.7,general,35.21,Moderate
18.93,72.837,0.154,0.571,0.566,0.821,0.054,0.7,elderly,42.25,Moderate
19.22,72.776,0,0.121,0.499,0.35,0.84,0.7,autistic,41.08,Moderate
19.07,72.908,0,0.631,0.35,0.647,0.783,0.7,elderly,51.13,Moderate
18.98,72.77,0.61,0.411,0.373,0.829,0.514,0.7,autistic,55.44,Moderate
18.958,72.823,0.222,0.379,0.503,0.197,0.446,0.7,autistic,39.61,Moderate
19.299,72.835,0,0.107,0.663,0.71,0.665,0.7,general,47.42,Moderate
19.038,72.76,0.947,0.676,0.208,0.897,0.469,0.7,general,64.95,Moderate
19.146,72.801,0.058,0.914,0.929,0.814,0.388,0.7,elderly,57.42,Moderate
19.062,72.836,0.217,0.398,0.466,0.102,0.896,0.7,autistic,45.11,Moderate
19.132,72.812,0,0.337,0.82,0.469,0.668,0.7,elderly,48.4,Moderate
18.928,72.767,0.209,0.462,0.817,0.064,0.928,0.7,general,52.99,Moderate
19.096,72.856,0,0.511,0.262,0.365,0.644,0.7,general,41.36,Moderate
19.258,72.886,0,0.552,0.367,0.399,0.798,0.7,autistic,47.01,Moderate
18.931,72.915,0,0.069,0.905,0.385,0.518,0.7,elderly,41.29,Moderate
19.022,72.793,0,0.733,0.555,0.329,0.832,0.7,elderly,52.71,Moderate
